B     N1      N2         N3             N4
368  13020  74819126  164217682696  203707484917
369  13032  74954767  164663964152  204261067808
370  13044  75090214  165110213690  204814682811
371  13055  75225192  165556440513  205368320999
372  13067  75360529  166002747274  205921878889
373  13079  75495681  166449019780  206475471219
374  13091  75630576  166895243592  207029112500
375  13102  75765291  167341559116  207582662250
376  13114  75900112  167787836030  208136250503
377  13125  76034397  168234068243  208689883994
378  13137  76169050  168680358781  209243458791
379  13149  76303485  169126607871  209797075254
380  13160  76437561  169572815582  210350733456
381  13172  76571793  170019113809  210904300985
382  13183  76705613  170465365892  211457915071
383  13195  76839626  170911610694  212011536244
384  13206  76973211  171357879092  212565134250
385  13218  77106993  171804133439  213118746109
386  13229  77240406  172250386835  213672359289
387  13241  77373765  172696647244  214225965509
388  13252  77507184  173142915393  214779563930
389  13263  77640165  173589198491  215333147840
390  13275  77773438  174035448100  215886764946
391  13286  77906325  174481708296  216440371852
392  13297  78039026  174927994538  216993952898
393  13309  78171935  175374241867  217547572648
394  13320  78304493  175820502748  218101179198
395  13331  78436881  176266740181  218654809366
396  13342  78569128  176713004003  219208413286
397  13354  78701634  177159304016  219761980755
398  13365  78833799  177605511673  220315640922
399  13376  78965822  178051792078  220869228483
400  13387  79097671  178498064865  221422823836
401  13398  79229387  178944312743  221976444231
402  13409  79361031  179390565515  222530059804
403  13421  79492896  179836811013  223083682429
404  13432  79624448  180283069234  223637292645
405  13443  79755864  180729358265  224190872187
